date,cases,total_tests,County,pos_rate
2020-12-13,305.0,1387.0,Stanislaus,0.2198990627253064
2020-12-14,557.0,4700.0,Stanislaus,0.11851063829787234
2020-12-15,528.0,4174.0,Stanislaus,0.12649736463823671
2020-12-16,497.0,3685.0,Stanislaus,0.13487109905020353
2020-12-17,493.0,4486.0,Stanislaus,0.1098974587605885
2020-12-18,419.0,3293.0,Stanislaus,0.1272395991497115
2020-12-19,276.0,1307.0,Stanislaus,0.2111706197398623
2020-12-20,327.0,1859.0,Stanislaus,0.1759010220548682
2020-12-21,531.0,4678.0,Stanislaus,0.11351004702864471
2020-12-22,457.0,4149.0,Stanislaus,0.1101470233791275
2020-12-23,384.0,3059.0,Stanislaus,0.12553121935272965
2020-12-24,352.0,1879.0,Stanislaus,0.1873336881319851
2020-12-25,202.0,558.0,Stanislaus,0.36200716845878134
2020-12-26,282.0,1204.0,Stanislaus,0.23421926910299004
2020-12-27,299.0,1356.0,Stanislaus,0.2205014749262537
2020-12-28,612.0,4835.0,Stanislaus,0.1265770423991727
2020-12-29,546.0,4033.0,Stanislaus,0.13538308951152989
2020-12-30,478.0,3327.0,Stanislaus,0.14367297865945297
2020-12-31,463.0,2750.0,Stanislaus,0.16836363636363635
2021-01-01,308.0,573.0,Stanislaus,0.537521815008726
2021-01-02,288.0,1299.0,Stanislaus,0.22170900692840648
2021-01-03,333.0,1564.0,Stanislaus,0.2129156010230179
2021-01-04,707.0,5094.0,Stanislaus,0.13879073419709462
2021-01-05,563.0,4515.0,Stanislaus,0.1246954595791805
2021-01-06,544.0,3672.0,Stanislaus,0.14814814814814814
2021-01-07,567.0,4038.0,Stanislaus,0.14041604754829123
2021-01-08,417.0,3216.0,Stanislaus,0.1296641791044776
2021-01-09,299.0,1216.0,Stanislaus,0.24588815789473684
2021-01-10,291.0,1396.0,Stanislaus,0.20845272206303725
2021-01-11,574.0,5400.0,Stanislaus,0.10629629629629629
2021-01-12,491.0,4245.0,Stanislaus,0.11566548881036513
2021-01-13,439.0,3614.0,Stanislaus,0.12147205312672939
2021-01-14,392.0,3927.0,Stanislaus,0.09982174688057041
2021-01-15,327.0,2742.0,Stanislaus,0.11925601750547046
2021-01-16,250.0,1295.0,Stanislaus,0.19305019305019305
2021-01-17,188.0,1210.0,Stanislaus,0.15537190082644628
2021-01-18,320.0,4051.0,Stanislaus,0.07899284127375956
